39	63.4	32.4	58	86.1	101.9	140	76.4	14	122.2	18.5	61.7
19	32.5	18	24.7	63.9	103.1	87.4	84.4	36.7	26.4	57.4	80.7
23.5	34.8	26.6	54.7	141.4	89.4	113.2	56.1	108.9	17	30.2	26.5
48.7	34.5	40.2	75	49.7	93.5	118.2	139.4	95.7	69.1	44.7	68.8
33.1	21.2	21.1	54.2	39.2	101.5	130.5	61.1	22.9	21	40.7	79.5
44.3	26.6	16.8	56	60	152.3	129.4	110.5	90.9	82.9	97	43
15.5	19.8	23.1	25.3	49.8	98.8	69.6	37.9	16.5	23.8	15.5	51.5
39.9	54.3	62.6	19.7	128.7	159.6	109.2	54.3	55.2	4.9	81.8	51.1
50	29.9	25.1	55.9	83.7	37.8	58.7	111.6	97.6	80.6	51.2	34.6
16.7	49.1	84.6	80.3	58	68.7	60.8	151.2	99.1	35.7	118.7	80.3
65.9	38.5	41.1	34.8	68.1	165	209.1	205.6	72.8	18.4	63.3	44.6
44.3	72.3	78.6	25	99.4	127.4	162	152.4	107.6	84.7	57.5	60.2
51.6	34.8	72.6	62.2	135.8	111.4	49.2	77.9	33.7	75.8	35.6	49.8
45.9	37.5	28.8	65.5	68.1	38.3	103.1	153.9	148.2	76.2	44	24.8
10.8	34.6	26.2	82.2	59	156.8	90.6	56.7	6.8	27.4	42.1	36.1
54.9	44.9	43.6	84	125.2	131.7	157.7	107.4	82.8	51.6	54.5	52.5
19	35.4	12.4	39.8	39.3	126.5	131.1	97	49.4	28.6	44.6	79
17.8	10.3	6	67.5	89.8	183.9	48.7	148.1	94.4	34.2	57.6	9
11	55.1	17.9	53.3	101.6	168.9	166.2	39.1	54.5	39	35.3	15.8
50.2	12	1.5	33.1	104.2	257.7	185.3	61.6	56.7	152.2	48.3	51
19	11.1	53.3	66.5	110.9	112.8	157.2	90.4	33.7	78.4	3.9	70.2
59	1.1	61.1	57.7	122.5	78.2	45.7	35	127.7	27.5	41.3	55.3
28.6	81.1	70.2	43.6	59.6	49.1	123.3	107.8	99	11.8	65.6	29.4
22.2	27.4	36.1	115.5	138.3	86.4	102.5	109.2	105.6	44.9	22.3	50.8
61.5	20.5	53.3	57.8	64	38.9	130.7	122.2	46.9	53.3	76.7	48.1
16	15.9	45	61.2	39.4	181.1	298.3	54.8	67.3	147.2	63.9	30.5
22.6	14.2	64.6	25.7	36.9	86.8	195.6	98.4	48.7	85	61.7	59.1
21	18.8	12.7	64.9	32.4	168.1	106.7	53.7	41.6	25.7	25.6	107.3
70	30.6	102	26.4	83.1	161.8	81.8	87.8	111.6	39.9	22.7	19
26.4	17.9	17.7	20.1	70.3	132.9	142.8	58.3	88.2	49.9	12	27.9
22.2	33.4	33.3	81.5	126.5	126.8	107.7	108	58.6	38.6	64.2	106.9
43.1	9.9	19.4	45.2	82.8	62.1	114.2	132.8	14.4	26.4	21.5	34.2
41.4	10.6	69.4	21.6	124.4	104.3	64.7	77.2	136.5	39.5	39.3	111.2
30	36.8	51.1	19.4	47.9	62.9	61.7	101.1	129	18.2	38.4	93
22	27.2	28.1	100.6	246.6	120.8	58.7	84.8	44.8	33.1	45.7	27.6
25.9	43.4	39.9	80.2	80.5	59.3	148	86.1	116.8	41.6	38.6	29.7
24.1	27.8	14.7	34.1	123.2	100.8	59.6	129.8	75.3	136.7	34.3	29.9
34.8	37.3	25	69.4	75.9	94.8	27.2	35.1	139	96.9	73.9	32.7
33.7	32.6	42.3	36.7	41.7	72	175.7	82.9	44	34.5	9.4	28.3
23.2	32.6	58.9	50.4	76.3	76.2	13.5	103.7	69.7	85.5	44.8	72.6
23.4	64.5	43.7	63.2	95.5	118.7	20.9	84.8	96.2	6.9	50.8	32.3
26.9	30.2	27.8	41.7	172.1	67.9	101.5	68.6	218.2	78.4	26.1	38.8
17.4	31.4	23.8	63.2	124.2	79.8	158	88.3	95.5	58.7	71.1	65
29.4	61.1	35.5	123.3	70.3	139	154.6	30	50.6	92.4	62.3	35.5
20.1	64.1	18.6	102.3	53.5	146.5	181.7	82.1	53.5	80.9	68.6	56
60	57.7	87.3	69.4	71.3	84.3	170.6	39	64.1	6.5	42.2	38.4
57.4	20.7	82.3	55.8	72.8	173.2	216	90.4	148.1	33	69.2	32.1
30.5	36.8	39.9	37.3	73.9	113.4	100.9	103.3	76.4	95.4	24.8	24.8
35.4	34.2	19.2	51.2	96.8	43.3	88.2	45.9	68.6	99.4	38.5	39
30.6	82.3	30.5	58.6	92.4	56.7	233.9	185.9	70.5	56.7	57.4	8.6
77.4	36.5	39.3	106.5	106.4	105.4	112.4	240.9	83.1	13	14.1	58.2
18.5	33.1	82.4	70.6	118.2	124.5	76.3	155.6	22.4	28.5	82.3	16.8
94.5	41.6	31.4	19.7	50.4	104.2	102.1	149.9	204.8	61.5	63.5	32.8
38.4	21.6	56.9	81.5	63.4	48.1	234.4	76.3	104.6	38.8	26.2	66.5
27.9	43.9	75.5	26.2	120.2	151.8	102.5	79.1	60.2	125.6	61.6	50
48.4	44.6	46.2	73.6	231.8	115.3	187.6	102.7	132.3	23.8	32.3	65.6
30.1	27.7	16.1	51	76.3	90.8	265.1	69.3	44.1	50.5	2.5	53.4
53.4	55	37.2	60.9	112.7	122.8	149.3	72.5	46.9	83.4	31.7	38.5
66.4	29	68.4	39.3	81.3	139.9	44.3	10.5	90.3	24.8	108.5	16.7
32.1	33.7	62.5	60.3	186.2	50.6	142.6	93.2	57.3	64.5	15.2	28.5
